ID,Store_Name,City,State,Zip Code,Population,Median_Income
8257,Safeway - Vancouver #1611,Vancouver,WA,98661,44107,56420
8258,Slauson & State,Huntington Park,CA,90255,77818,47367
8259,"Old Town Front & 6Th, Temecula",Temecula,CA,92590,4731,73310
8260,Valley View & Alondra,Santa Fe Springs,CA,90670,16937,74547
8261,Saticoy & Louise,Van Nuys,CA,91406,58692,56801
8262,Yamato Rd & Congress Ave,Boca Raton,FL,33434,20536,61714
8263,Delaware & Shurfine - Ankeny,Ankeny,IA,50021,27686,83663
8264,Riverstone Center,Coeur D'alene,ID,83814,26316,53539
8265,"Robinson, Lafayette Plaza",Pittsburgh,PA,15275,67,84999
8266,Hwy 66 & Us 411,Sevierville,TN,37876,32276,53770
8267,I-10 & Vance Jackson,San Antonio,TX,78201,47466,41860
8268,Hollymead Town Center,Charlottesville,VA,22911,17902,83931
8271,Hwy 9 & Bethelview,Cumming,GA,30040,71012,97806
8273,Wyomissing,Wyomissing,PA,19610,14969,84966
8274,Old Hickory Blvd & Westpark Dr,Brentwood,TN,37027,58081,132888
8275,Target Pembroke Pines T-920,Pembroke Pines,FL,33026,30978,76966
8276,Target Naples T-899,Naples,FL,34109,25240,69631
8277,Safeway-Coeur D'alene #1470,Coeur D'alene,ID,83814,26316,53539
8279,Target Fayetteville T-755,Fayetteville,NC,28314,56902,50577
8281,Target Fargo T-61,Fargo,ND,58103,48392,47062
8282,Safeway-Longview #1078,Longview,WA,98632,49357,48320
8283,Wade Hampton Blvd & Brannon Dr,Greer,SC,29651,46101,58478
8284,Junction Hwy & Commerce,Kerrville,TX,78028,39046,52176
8285,38Th & Guadalupe,Austin,TX,78705,37016,18883
8286,Wards Road,Lynchburg,VA,24502,48909,54757
8287,"Route 1, Fredericksburg",Fredericksburg,VA,22407,59904,86442
8288,Mcgalliard & Reserve,Muncie,IN,47303,25556,37039
8290,I-75 @ St Augustine Rd,Valdosta,GA,31601,34681,27349
8292,Michigan City-Franklin & Rte 20,Michigan City,IN,46360,44005,49354
8293,Lima & Dupont,Fort Wayne,IN,46818,19850,63737
8294,I-20 @ Springridge,Clinton,MS,39056,25551,62925
8295,Ballantyne,Charlotte,NC,28277,66934,108929
8296,Towne Creek Commons,Salisbury,NC,28144,25232,41566
8297,Burlington Mall,Burlington,NC,27215,41231,50253
8298,Laguna & Bruceville - Elk Grove,Elk Grove,CA,95758,64712,82266
8299,Henry St & Mamalahoa Hwy,Kailua-Kona,HI,96740,38944,78358
8300,Target Tucson T-854,Tucson,AZ,85741,33546,61125
8301,Kauai Village Shopping Center Kapaa,Kapaa,HI,96746,19847,78704
8302,Albertsons-Palmdale #6333,Palmdale,CA,93551,52221,91539
8303,Safeway - Steamboat Springs #637,Steamboat Springs,CO,80488,#N/A,#N/A
8305,Target Rancho Santa Margarita T-914,Rancho Santa Margarita,CA,92688,46209,108537
8307,Target Elk Grove T-1025,Elk Grove,CA,95758,64712,82266
8308,Vons-Camarillo #2094,Camarillo,CA,93012,35922,108624
8310,Rutgers U/Newark Robeson Stdnt Ctr,Newark,NJ,7102,11145,36928
8311,Safeway-Mcminnville #1601,Mcminnville,OR,97128,38233,58700
8312,Fred Meyer-Hillsboro #143,Tualatin,OR,97123,48423,79305
8314,Qfc - Redmond Ridge #878,Redmond,WA,98053,22267,139714
8315,Safeway - Des Moines #1186,Des Moines,WA,98198,37457,68326
8316,Fred Meyer - Bellevue #23,Bellevue,WA,98007,28056,95054
8317,Cwru - Residential Village,Cleveland,OH,44106,26905,30879
8318,Penn State Hershey Medical Ctr Main,Hershey,PA,17033,16876,67433
8319,Northwest Highway & I-35,Dallas,TX,75220,45868,47936
8321,Kent Square,Blacksburg,VA,24060,46878,52263
8322,Qfc-North Bend #829,North Bend,WA,98045,15508,109502
8324,Lakewood & Artesia,Bellflower,CA,90706,79255,60348
8325,"5Th & B Street, Oxnard",Oxnard,CA,93030,60342,73354
8326,"28Th & B Street, San Diego",San Diego,CA,92102,46126,52385
8327,Holiday Village-Great Falls-Mt,Great Falls,MT,59405,31243,47143
8328,33-42 Hillel Place,Brooklyn,NY,11210,71329,66181
8330,First & Main St. - Hillsboro,Hillsboro,OR,97123,48423,79305
8331,I-30 & Broadway,Garland,TX,75043,61775,63263
8332,Safeway - Moraga #969,Moraga,CA,94556,17727,163907
8333,Farm Fresh - Williamsburg #405,Williamsburg,VA,23185,46961,82952
8335,U Of Nm - Zimmerman Library,Albuquerque,NM,87131,418,24513
8336,Doubletree Hotel @ Universal Studio,Orlando,FL,32819,29772,70850
8337,Target Smyrna T-373,Smyrna,GA,30080,51003,72579
8339,Target Largo T-1006,Largo,MD,20774,47131,98986
8340,Target Bwi Bel Air T-1002,Bel Air,MD,21014,36567,92356
8342,Sunset Station,Henderson,NV,89014,38767,61386
